session,created,modified,ended,expired,Neutral68_type,Neutral91_type,Neutral158_type,Neutral169_type,Angry84_type,Angry55_type,Angry130_type,Happy103_type,Happy338_type,Happy348_type,Sad59_type,Sad63_type,Sad134_type,Neutral68_intensity_Happy,Neutral91_intensity_Happy,Neutral158_intensity_Happy,Neutral169_intensity_Happy,Angry84_intensity_Happy,Angry55_intensity_Happy,Angry130_intensity_Happy,Happy103_intensity_Happy,Happy338_intensity_Happy,Happy348_intensity_Happy,Sad59_intensity_Happy,Sad63_intensity_Happy,Sad134_intensity_Happy,Neutral68_intensity_Sad,Neutral91_intensity_Sad,Neutral158_intensity_Sad,Neutral169_intensity_Sad,Angry84_intensity_Sad,Angry55_intensity_Sad,Angry130_intensity_Sad,Happy103_intensity_Sad,Happy338_intensity_Sad,Happy348_intensity_Sad,Sad59_intensity_Sad,Sad63_intensity_Sad,Sad134_intensity_Sad,age,Neutral68_intensity_Angry,Neutral91_intensity_Angry,Neutral158_intensity_Angry,Neutral169_intensity_Angry,Angry84_intensity_Angry,Angry55_intensity_Angry,Angry130_intensity_Angry,Happy103_intensity_Angry,Happy338_intensity_Angry,Happy348_intensity_Angry,Sad59_intensity_Angry,Sad63_intensity_Angry,Sad134_intensity_Angry,gender,specify_N68,specify_N91,specify_N158,specify_N169,specify_A84,specify_A55,specify_A130,specify_H103,specify_H338,specify_H348,specify_S59,specify_S63,specify_S134,feedback
5hIY9cRgZtMvbJEokU4KyA7a4TbI2kS6MlktRRkTd2JPvnCjpRDrPzZ7sQH0Pg6m,2019-05-03 08:10:32,2019-05-03 08:10:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qv3ES-m5AmrWMFQq6sNDdoPHeiv_b_dtRu2--MmcsqBGyLfFmE5DQlN6AsXUX02V,2019-05-03 08:14:10,2019-05-03 08:14:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNQgoH0VWmsGBfi5DYg_Uq5BQbiaRYCPC4S22mVUzliATGdXKNHTWNFz6_7PuTIH,2019-05-10 18:27:18,2019-05-10 18:33:53,2019-05-10 18:33:53,,1,1,1,6,4,4,4,2,2,2,3,3,3,,,,,,,,70,67,69,,,,,,,,,,,,,,73,37,73,24,,,,,82,66,69,,,,,,,2,,,,,,,,,,,,,,
btYmRmc2kQhQs0sGlSqzMDInlEDfYJCGDELoWPz025_TtvACcGQpg2n3sE8I5QVT,2019-05-15 16:56:50,2019-05-15 17:01:18,2019-05-15 17:01:18,,1,5,5,6,4,4,4,6,2,2,3,3,3,,,,,,,,,10,60,,,,,,,,,,,,,,95,68,100,22,,,,,100,73,76,,,,,,,1,,Surprised,Confused at the beginning and then I have no idea,,,,,,,,,,,
9MSf8L2llXQgzuzDHIntIkjV2FRTQkkVF3xxjIxKW7VB-tbxe7_Opbzprj962hN0,2019-05-16 11:34:03,2019-05-16 11:34:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv92V773P7RrBplzrKTJgSgtaKDe7E5T4cjvtHXRWbnG6RhH7GyOMXuwMibg1m-E,2019-05-16 14:17:03,2019-05-16 14:18:19,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,79,,,,6,,,,,,,,,,,,,,
6pC_57FJUI2jZKWqOwhCXwqpacSpcGZ22zXVdUXdRKqCJyLm3m5KuZu86yqVoI2y,2019-05-19 14:24:47,2019-05-19 14:30:05,2019-05-19 14:30:05,,6,5,5,5,4,4,4,2,2,2,3,3,5,,,,,,,,87,67,86,,,,,,,,,,,,,,76,28,,20,,,,,93,62,85,,,,,,,2,,Surprise,Fear,Fear,,,,,,,,,Shame,
W6bDAQCGN8jAZpn8ifzpsShuwmjfCMSUUWZcks33rbOj1bkg5NiKK064FmTK73zX,2019-05-20 05:08:42,2019-05-20 05:08:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmgUhwpxB1LsswwSpuYS5Jrn9zsTqiuzL1cedjlnqmsZW6AOoOM6nmBfujpSFNHf,2019-05-24 08:47:42,2019-05-24 08:48:12,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
z7yP2zUi3G11JI47JISrcSZV-IX6kN3Z1rjls7bfkG5Xr3ni4gnURmWlzpr473Jg,2019-05-29 08:54:36,2019-05-29 08:54:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
P4tVFQn0ms9xZeZkQ1z4DcUeun0fs3R2wv16nCl_gS2lqpIbRQ7zKjQjhtHjB8pp,2019-05-29 16:52:35,2019-05-29 16:58:20,2019-05-29 16:58:20,,5,6,2,2,4,4,3,4,4,2,3,3,3,,,75,32,,,,,,100,,,,,,,,,,68,,,,92,87,21,20,,,,,100,85,,72,69,,,,,1,Doubtful,,,,,,,,,,,,,
RDc_gTMheHsPnYx7qXJvu0_lJnZ_bgYy4qaXTfdYrr1-Hpct3mEdbOiWaynFL57X,2019-06-07 00:14:37,2019-06-07 00:22:55,2019-06-07 00:22:55,,6,5,2,6,4,4,4,2,5,2,3,3,3,,,67,,,,,93,,86,,,,,,,,,,,,,,79,66,76,28,,,,,94,84,71,,,,,,,1,,Surprised,,,,,,,Excitement,,,,,
_N6Lzx5G2bWTTGI0CbwVR5GFb_8NhGsn9UDQZyFrd_9jMTVzM8vQCLRA89urkMc_,2019-06-07 10:11:24,2019-06-07 10:11:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pQFatupTqHwQNxwrzoQ1WPQ6hcqmDwm2Kvo9sGLmYPkYc9x1Nh-qk9st-Tk6nuk4,2019-06-07 14:42:44,2019-06-07 14:47:17,2019-06-07 14:47:17,,1,4,2,2,4,4,4,4,2,2,3,3,3,,,8,5,,,,,79,98,,,,,,,,,,,,,,85,68,60,18,,56,,,100,58,100,71,,,,,,1,,,,,,,,,,,,,,
g1vpgknqrwOWQ_0bafxa8p4e1lZcGrxqXOe5MiTjN-baHbayRqS9cqsC4vqcFH2U,2019-06-10 22:14:35,2019-06-10 22:19:42,2019-06-10 22:19:42,,5,5,5,5,4,5,4,5,2,2,5,3,5,,,,,,,,,73,67,,,,,,,,,,,,,,,95,,21,,,,,97,,73,,,,,,,1,confusion,scared/surprised,discomfort,in slight pain,,frustration,,stressed,,,disappointment,,embarrassment ,
IrAb6jJHOvh2UT4zy0Zr6Cuh2rSgqspbc6JucJvwwSiVkYNgAR5NN04V9M60_8uS,2019-06-15 16:41:07,2019-06-15 18:10:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sqgc_BroLq3I_4qeRjB52Wovf8HYpF5f1eyhLPyyZN81G1ClJino1epOi3q6KMR0,2019-06-15 22:30:56,2019-06-15 22:36:47,2019-06-15 22:36:47,,1,4,6,1,4,4,5,5,5,2,3,3,5,,,,,,,,,,100,,,,,,,,,,,,,,74,78,,16,,59,,,100,93,,,,,,,,1,,,,,,,annoyed,excited,ecstatic,,,,scared,
k_3z-V0gI5g8hh5P6Ttq0SJ-tXIxx90jP1Eo-IyPqWcNKpN7M94-mshJ00WYiMDw,2019-06-20 22:59:47,2019-06-20 23:07:10,2019-06-20 23:07:10,,5,5,1,2,4,4,4,2,2,2,3,3,3,,,,18,,,,100,72,100,,,,,,,,,,,,,,74,51,68,25,,,,,100,75,51,,,,,,,5,Surprise/confusion,Surprise,,,,,,,,,,,,
iRnyc_nmXv8skh0Fmrys0q_u46IsFae-yk5763kDQz6gnVZVIOtNrN9ftqa8wq1C,2019-06-27 01:30:03,2019-06-27 02:51:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_MthR5fa2YDoyw2U3nmZImloWfkMvVQcVh9m7by4txS0Ct_eNKuFThycCNbWsZ3v,2019-06-27 03:02:27,2019-06-27 03:35:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvhl2x2FGHqUpVv6rCIxXbWBm0Ng0WyQEF8SNOkiuqzwoadnHarminmJDhZ1SGAY,2019-06-27 03:35:33,2019-06-27 04:39:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kVCvecQXd9Cphb1zEgb9D_Kgut_gokaHy_qeL0bemWI5QFo4lWQzF6VYX8f-R229,2019-06-30 23:30:31,2019-06-30 23:36:56,2019-06-30 23:36:56,,2,1,1,6,4,4,4,4,1,5,2,3,3,59,,,,,,,,,,82,,,,,,,,,,,,,,37,74,35,,,,,92,42,80,16,,,,,,1,,,,,,,,,,Excitement,,,,
RP2B1E90WJUDiu3CkVVEW-oADMt5YmPHldiwt04wzn9LqjwcPvPWfaNqeRW0WzGH,2019-07-08 15:30:38,2019-07-08 15:30:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
7aJcgQsZ7GtwJaEVdm1L2pc3NBdXGl4OW7TFyP7oOjRdCxfNgvFpjAsEfWhTIwtD,2019-07-08 15:30:50,2019-07-08 15:32:17,,,,,1,,,,2,,,,,4,,,,,,,,12,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,67,,1,,,,,,,,,,,,,,
rtYPXDEKTGg8zRAmyagR3FHV-Xbrvnh-3a55jYc-E7lb4OLpPUhan-rneqfNHQZC,2019-07-16 15:36:35,2019-07-17 13:38:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub8tNfu2YZqoKxOBBMcUyZ0ahaPYuz4iHLTvZkcYsxxVP8CAKr-PjXlvQ-4AKxs,2019-07-18 19:40:26,2019-07-18 19:40:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hf0tXgL8rki6J8HRSlKdVBh7Gv3E7KqlxqrsjrQwexYaObhf2IwrYEGD_ZF95qm6,2019-07-22 10:10:46,2019-07-22 10:15:13,2019-07-22 10:15:13,,1,4,6,2,4,4,4,2,2,2,3,3,3,,,,41,,,,67,59,51,,,,,,,,,,,,,,56,51,61,27,,7,,,59,74,61,,,,,,,1,,,,,,,,,,,,,,
Hph8d6lWyyOKlA8Y1HCQxm6MAulmK9yBxqXj5kC9C1xKoBag93MwIsd31nYVYkWB,2019-07-25 12:27:33,2019-07-25 12:27:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttogkYNIrTXyRysu9a08EPHDoBerxgfoTFz8l6l3Hkxy-QVVW4jPoxk_GOndcYL1,2019-08-08 17:18:05,2019-08-08 17:29:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9t_906_rdPcFmhpzpES6mo9Rl1dQkQI7SA43eUPyD4Piz11739hdHt5YqHlOCHj8,2019-08-14 12:01:32,2019-08-19 22:22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QnGEnSfz0LKngj6paeo-UjbCguMYGY__8kq6u41heY_AgEVE4IzWXn8K6qreWmpS,2019-08-27 02:45:12,2019-08-27 02:55:14,2019-08-27 02:55:14,,6,5,5,6,4,5,4,6,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,16,25,94,41,,,,,73,,71,,,,,,,2,,suprise ,surprise,,,frustration,,,dismay,delight,,,,
A6L9FDqm7votXk3aKTJokXBvUv1GFspOfpGOA83RYMyQkKGynY-qOSENEiV1Op4B,2019-11-04 11:50:07,2019-11-04 11:50:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
