"session","created","modified","ended","expired","Angry55_type","Angry130_type","Happy103_type","Happy338_type","Happy348_type","Sad59_type","Sad63_type","Sad134_type","Neutral68_type","Neutral91_type","Neutral158_type","Neutral169_type","Angry84_type","Angry55_intensity_Happy","Angry130_intensity_Happy","Happy103_intensity_Happy","Happy338_intensity_Happy","Happy348_intensity_Happy","Sad59_intensity_Happy","Sad63_intensity_Happy","Sad134_intensity_Happy","Neutral68_intensity_Happy","Neutral91_intensity_Happy","Neutral158_intensity_Happy","Neutral169_intensity_Happy","Angry84_intensity_Happy","Angry55_intensity_Sad","Angry130_intensity_Sad","Happy103_intensity_Sad","Happy338_intensity_Sad","Happy348_intensity_Sad","Sad59_intensity_Sad","Sad63_intensity_Sad","Sad134_intensity_Sad","Neutral68_intensity_Sad","Neutral91_intensity_Sad","Neutral158_intensity_Sad","Neutral169_intensity_Sad","Angry84_intensity_Sad","Angry84_intensity_Angry","Angry55_intensity_Angry","Angry130_intensity_Angry","Happy103_intensity_Angry","Happy338_intensity_Angry","Happy348_intensity_Angry","Sad59_intensity_Angry","Sad63_intensity_Angry","Sad134_intensity_Angry","age","Neutral68_intensity_Angry","Neutral91_intensity_Angry","Neutral158_intensity_Angry","Neutral169_intensity_Angry","specify_A84","specify_A55","specify_A130","specify_H103","specify_H338","specify_H348","specify_S59","specify_S63","specify_S134","gender","specify_N68","specify_N91","specify_N158","specify_N169","feedback"
"TQRPMF-JmnHH6y0_LBVYLYtNU0t4s7YYQ2bzbezBm4J_jl87vvk-yfpaKY5t1kva","2019-04-08 14:51:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jmzn7ZsbpOkFGb4iSVzqnob8fSB1FUgFtPxYn2-bzZDAfc1IkmZTo1k7AtSpY1-s","2019-04-08 14:51:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ulj8JU83EOBeM066KDx74J4hK7aKJLd4dqO9rpnaE2MEbqEqlHiTj2LhriaLP9Lz","2019-04-08 14:58:31","2019-04-08 15:11:13","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","","","","","Bored","","1","","","","",""
"tTbXEO_0l3QLlniYX4S2GNZaWuET8jYD7GkEmxagKPpQN9Tz-RZYbgXd9ZMUs7ES","2019-04-08 14:59:01","2019-04-08 14:59:59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","2","","","","",""
"djczMYBhvqHIADcQdXwAcG5YQE3Vz4UUwzBlOpFbZwUIRtZHaOz-UA7auoarBQpQ","2019-04-08 14:59:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJTIvgQMxGZ1Pt0oQD0Qsl4Ln4pS3QrLAKsQl4akWId4aCdQF2jR3A5WzZpbQDzs","2019-04-08 14:59:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sleepyGentooPenguinXXXMjKDJs1U0epzsNQvdIQaD0dpleVkhHTPaikKALIrRn","2019-04-08 14:59:37","2019-04-11 14:03:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XOTovKMtXD6rOrsJxzSnOYijplBMh7K86zcjbfOxVd__9cYudjw4GFgW98NoZ3fv","2019-04-08 15:00:43","2019-04-08 15:00:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","2","","","","",""
"OAH5nmOVLCplQ6WoCQjXDxvFYKTMACIGdt0qkWoh0WPfeKV7ZOaZOh_JoFRKxv2d","2019-04-08 15:03:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"osmfi8_Q_lwpbtP6sy2M-yPspu34bw49VM-VpIbEGeSWINFB-x3XmVE2pwkTLjSh","2019-04-08 15:03:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NgbwxC8oSPiElaoVeGMEb-LKxH0LFc_yAbplhBqs7l490jVFubrQ-ojY8tjgk2O-","2019-04-08 15:04:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1OVUU0XiYbOUwhrCrkrdAMny8vutYhq4fqg7FsQ4czT-5fRxf6QqDgFD7FBy4pcr","2019-04-08 15:04:48","2019-04-08 15:17:15","2019-04-08 15:17:15","","4","3","2","2","2","3","3","3","1","1","2","4","4","","","56","84","92","","","","","","83","","","","27","","","","88","82","79","","","","","","100","100","","","","","","","","24","","","","26","","","","","","","","","","2","","","","",""
"LxPLDszFAk4Kp76oZO-qiBb1FrIUny7T0pZR6X7Bgo5Lk7cN0gQVhSyJYHe4MfLC","2019-04-08 15:19:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNpiVxiHum2Wtb5Kzo7ooz8zrK9RqxBsDYOLS83Jh8XFd1DR2klUmZjK4oO9-NT7","2019-04-08 15:19:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9sC6H5s8buL8D6s5jFHQMFF9fHNxSdC8MAonL9FmYlO2bPfDzhPLziw96v8abbn9","2019-04-08 15:25:19","2019-04-08 15:33:50","2019-04-08 15:33:50","","4","4","4","2","4","3","3","3","4","3","4","5","4","","","","42","","","","","","","","","","","","","","","88","71","92","","21","","","","90","61","93","68","","32","","","","18","3","","3","","","","","","","","","","","1","","","","Confused",""
"b6_HeLG5Atv-qg2tGOqr4QdpjqNbx6tQOWpAPjweexmmFc8JFuAzc5byt5-a74Sq","2019-04-08 15:26:35","2019-04-08 15:35:25","","","4","4","2","","2","3","6","5","6","6","6","6","4","","","61","","79","","","","","","","","","","","","","","60","","","","","","","","89","65","25","","","","","","","25","","","","","","","","","","","","","Shame","1","","","","",""
